player_a,player_b,condition,round_type,score_a,score_b,gap,recommendation,color_a,color_b,element_a,element_b
Ben Griffin,Jake Knapp,Tough,Closing,-12.0,-1.6,-10.4,BET B,Blue,Purple,Fire,Wood
Kurt Kitayama,Sahith Theegala,Tough,Closing,-1.7,-12.1,10.4,BET A,Orange,Purple,Water,Fire
Keegan Bradley,Maverick McNealy,Calm,Open,-10.3,0.0,-10.3,BET B,Blue,nan,Fire,Wood
Ben Griffin,Tommy Fleetwood,Calm,Open,-10.3,0.0,-10.3,BET B,Blue,nan,Fire,Metal
Collin Morikawa,Justin Rose,Calm,Open,-10.3,0.0,-10.3,BET B,Blue,nan,Fire,Metal
Jacob Bridgeman,Justin Thomas,Calm,Open,-9.7,0.0,-9.7,BET B,Blue,nan,Earth,Water
Rory McIlroy,Viktor Hovland,Calm,Open,-9.7,0.0,-9.7,BET B,Blue,nan,Earth,Fire
Kevin Yu,Matt Wallace,Calm,Open,-9.7,0.0,-9.7,BET B,Blue,nan,Earth,Metal
Harris English,Patrick Cantlay,Calm,Open,-9.7,0.0,-9.7,BET B,Blue,nan,Earth,Water
Ryan Gerard,Rasmus Hojgaard,Calm,Open,-9.7,0.0,-9.7,BET B,Blue,nan,Earth,Metal
Nathan Kimsey,Ben Schmidt,Calm,Open,-8.3,1.2,-9.5,BET B,Yellow,Green,Water,Water
Thorbjorn Olesen,Will Zalatoris,Calm,Open,-9.3,0.0,-9.3,BET B,Green,nan,Earth,Fire
Sergio Garcia,Peter Uihlein,Calm,Open,-9.3,0.0,-9.3,BET B,Green,nan,Earth,Earth
Kristoffer Reitan,Michael Brennan,Calm,Open,-9.3,0.0,-9.3,BET B,Green,nan,Earth,Metal
Lucas Glover,Ryo Hisatsune,Calm,Open,-9.3,0.0,-9.3,BET B,Green,nan,Earth,Water
Doug Ghim,Garrick Higgo,Calm,Open,-8.4,0.0,-8.4,BET B,Green,nan,Fire,Earth
Patrick Cantlay,Corey Conners,Calm,Open,-8.3,0.0,-8.3,BET B,Yellow,nan,Water,Metal
Jordan Spieth,Rasmus Hojgaard,Calm,Open,-8.3,0.0,-8.3,BET B,Yellow,nan,Water,Metal
Casey Jarvis,Dan Bradbury,Calm,Open,-8.3,0.0,-8.3,BET B,Yellow,nan,Water,Earth
J.T. Poston,Keith Mitchell,Calm,Open,-8.3,0.0,-8.3,BET B,Yellow,nan,Water,Metal
Daniel Berger,Michael Thorbjornsen,Calm,Open,-8.3,0.0,-8.3,BET B,Yellow,nan,Water,Metal
Taylor Moore,Andrew Putnam,Calm,Open,-8.3,0.0,-8.3,BET B,Yellow,nan,Water,Earth
Justin Thomas,Hideki Matsuyama,Calm,Open,-8.3,0.0,-8.3,BET B,Yellow,nan,Water,Water
Aaron Cockerill,Stefano Mazzoli,Calm,Open,-8.3,0.0,-8.3,BET B,Yellow,nan,Water,Fire
Mikael Lindberg,Martin Couvra,Calm,Open,-8.3,0.0,-8.3,BET B,Yellow,nan,Water,Water
Elvis Smylie,Branden Grace,Calm,Open,-8.3,0.0,-8.3,BET B,Yellow,nan,Water,Earth
Jordan Smith,Rico Hoey,Calm,Open,-8.3,0.0,-8.3,BET B,Yellow,nan,Water,Wood
Jordan Spieth,Sam Stevens,Calm,Open,-8.3,0.0,-8.3,BET B,Yellow,nan,Water,Fire
Sebastian Munoz,Joaquin Niemann,Calm,Open,-8.3,0.0,-8.3,BET B,Yellow,nan,Water,Earth
Calum Hill,Ewen Ferguson,Moderate,Open,-7.8,0.0,-7.8,BET B,Yellow,nan,Wood,Fire
Christiaan Bezuidenhout,Thorbjorn Olesen,Moderate,Open,-7.8,0.0,-7.8,BET B,Yellow,nan,Wood,Earth
Jake Knapp,Matt Fitzpatrick,Calm,Open,-7.8,0.0,-7.8,BET B,Orange,nan,Wood,Wood
Chris Kirk,Sahith Theegala,Calm,Open,-7.8,0.0,-7.8,BET B,Orange,nan,Wood,Fire
Denny McCarthy,Ryan Fox,Tough,Open,7.8,0.0,7.8,BET A,Orange,nan,Water,Fire
Angel Ayora,Casey Jarvis,Moderate,Open,-7.8,0.0,-7.8,BET B,Yellow,nan,Wood,Water
Lucas Herbert,Cameron Smith,Moderate,Open,-7.8,0.0,-7.8,BET B,Yellow,nan,Wood,Water
J.T. Poston,Kurt Kitayama,Tough,Open,0.0,7.8,-7.8,BET B,Green,Orange,Water,Water
Aaron Rai,Keegan Bradley,Moderate,Open,-7.8,0.0,-7.8,BET B,Yellow,nan,Wood,Fire
Victor Perez,Dustin Johnson,Moderate,Open,-7.4,0.0,-7.4,BET B,Blue,nan,Water,Wood
Thomas Detry,Marc Leishman,Moderate,Open,-7.4,0.0,-7.4,BET B,Blue,nan,Water,Water
Kurt Kitayama,Ben Griffin,Moderate,Open,-7.4,0.0,-7.4,BET B,Blue,nan,Water,Fire
Bryson DeChambeau,Joaquin Niemann,Calm,Open,-7.4,0.0,-7.4,BET B,Orange,nan,Water,Earth
Antoine Rozner,Marcus Armitage,Moderate,Open,-7.4,0.0,-7.4,BET B,Blue,nan,Water,Fire
Patrick Cantlay,Maverick McNealy,Moderate,Open,-6.9,0.0,-6.9,BET B,Yellow,nan,Water,Wood
Daniel Berger,Alex Noren,Moderate,Open,-6.9,0.0,-6.9,BET B,Yellow,nan,Water,Water
Richard Bland,Charl Schwartzel,Moderate,Open,-6.9,0.0,-6.9,BET B,Yellow,nan,Water,Wood
Sepp Straka,Chris Gotterup,Moderate,Open,-6.9,0.0,-6.9,BET B,Yellow,nan,Water,Earth
Sebastian Munoz,Joaquin Niemann,Moderate,Open,-6.9,0.0,-6.9,BET B,Yellow,nan,Water,Earth
Brandon Stone,Romain Langasque,Moderate,Open,-6.9,0.0,-6.9,BET B,Yellow,nan,Water,Wood
Hideki Matsuyama,Min Woo Lee,Moderate,Open,-6.9,0.0,-6.9,BET B,Yellow,nan,Water,Earth
Xander Schauffele,Viktor Hovland,Calm,Open,-6.8,0.0,-6.8,BET B,Blue,nan,Water,Fire
Brian Campbell,Patrick Rodgers,Calm,Open,-6.8,0.0,-6.8,BET B,Blue,nan,Water,Water
Daniel Berger,Alex Noren,Calm,Open,-6.8,0.0,-6.8,BET B,Blue,nan,Water,Water
Jose Luis Ballester,Sergio Garcia,Calm,Open,-6.8,0.0,-6.8,BET B,Blue,nan,Water,Earth
Sebastian Munoz,Thomas Detry,Calm,Open,-6.8,0.0,-6.8,BET B,Blue,nan,Water,Water
Cameron Smith,Lucas Herbert,Calm,Open,-6.8,0.0,-6.8,BET B,Blue,nan,Water,Wood
Marc Leishman,Louis Oosthuizen,Calm,Open,-6.8,0.0,-6.8,BET B,Blue,nan,Water,Water
Kurt Kitayama,Pierceson Coody,Calm,Open,-6.8,0.0,-6.8,BET B,Blue,nan,Water,Earth
Adrian Otaegui,Dylan Frittelli,Calm,Open,-6.8,0.0,-6.8,BET B,Blue,nan,Water,Metal
Patrick Rodgers,Sam Stevens,Tough,Open,6.7,0.0,6.7,BET A,Blue,nan,Water,Fire
Alex Noren,Ryo Hisatsune,Tough,Open,6.7,0.0,6.7,BET A,Blue,nan,Water,Water
Patrick Cantlay,Chris Gotterup,Tough,Open,6.7,0.0,6.7,BET A,Blue,nan,Water,Earth
Max Homa,Kristoffer Reitan,Moderate,Open,-6.5,0.0,-6.5,BET B,Green,nan,Metal,Earth
Harold Varner III,Jose Luis Ballester,Moderate,Open,-6.5,0.0,-6.5,BET B,Green,nan,Metal,Water
Taylor Pendrith,Rasmus Hojgaard,Moderate,Open,-6.5,0.0,-6.5,BET B,Green,nan,Metal,Metal
Akshay Bhatia,Viktor Hovland,Moderate,Open,-6.5,0.0,-6.5,BET B,Green,nan,Metal,Fire
Richard Sterne,Deon Germishuys,Moderate,Open,-6.5,0.0,-6.5,BET B,Green,nan,Metal,Earth
Scottie Scheffler,Xander Schauffele,Tough,Open,6.4,0.0,6.4,BET A,Green,nan,Fire,Water
Patrick Reed,Alex Fitzpatrick,Moderate,Open,-6.3,0.0,-6.3,BET B,Blue,nan,Metal,Earth
Jordan Spieth,Matt McCarty,Tough,Closing,-14.3,-8.1,-6.200000000000001,BET B,Blue,Green,Water,Fire
Tom Vaillant,Kazuma Kobori,Calm,Open,-6.1,0.0,-6.1,BET B,Purple,nan,Metal,Metal
Tobias Jonsson,Nathan Kimsey,Calm,Open,-6.1,0.0,-6.1,BET B,Purple,nan,Metal,Water
Joakim Lagergren,Jacques Kruyswijk,Calm,Open,-6.1,0.0,-6.1,BET B,Purple,nan,Metal,Water
Talor Gooch,Byeong-Hun An,Calm,Open,-6.1,0.0,-6.1,BET B,Purple,nan,Metal,Metal
Johnny Keefer,Mac Meissner,Calm,Open,-6.1,0.0,-6.1,BET B,Purple,nan,Metal,Earth
Keith Mitchell,Max McGreevy,Calm,Open,-6.1,0.0,-6.1,BET B,Purple,nan,Metal,Wood
Matt Wallace,Matti Schmid,Calm,Open,-6.1,0.0,-6.1,BET B,Purple,nan,Metal,Fire
J.J. Spaun,Ryan Gerard,Tough,Closing,-3.0,3.1,-6.1,BET B,Blue,Purple,Metal,Earth
Min Woo Lee,Wyndham Clark,Tough,Open,1.8,7.8,-6.0,SKIP,Yellow,Orange,Earth,Water
Ewen Ferguson,Matthew Jordan,Calm,Open,-5.7,0.0,-5.7,SKIP,Yellow,nan,Fire,Wood
John Parry,Tom Kim,Calm,Open,-5.7,0.0,-5.7,SKIP,Yellow,nan,Fire,Water
Marcus Armitage,Alejandro Del Rey,Calm,Open,-5.7,0.0,-5.7,SKIP,Yellow,nan,Fire,Earth
Cameron Young,Sepp Straka,Calm,Open,-5.7,0.0,-5.7,SKIP,Yellow,nan,Fire,Water
Harry Hall,Corey Conners,Calm,Open,-5.7,0.0,-5.7,SKIP,Yellow,nan,Fire,Metal
Matt McCarty,Max Greyserman,Calm,Open,-5.7,0.0,-5.7,SKIP,Yellow,nan,Fire,Wood
Ryan Fox,Billy Horschel,Calm,Open,-5.7,0.0,-5.7,SKIP,Yellow,nan,Fire,Fire
Brian Harman,Akshay Bhatia,Calm,Open,-5.7,0.0,-5.7,SKIP,Yellow,nan,Fire,Metal
Scottie Scheffler,Russell Henley,Calm,Open,-5.7,0.0,-5.7,SKIP,Yellow,nan,Fire,Earth
Jorge Campillo,Martin Couvra,Calm,Open,-5.7,0.0,-5.7,SKIP,Yellow,nan,Fire,Water
Doug Ghim,Austin Eckroat,Calm,Open,-5.7,0.0,-5.7,SKIP,Yellow,nan,Fire,Earth
Thriston Lawrence,Casey Jarvis,Calm,Open,-5.7,0.0,-5.7,SKIP,Yellow,nan,Fire,Water
Nacho Elvira,Sean Crocker,Calm,Open,-5.7,0.0,-5.7,SKIP,Yellow,nan,Fire,Fire
Thriston Lawrence,Zhao Jin,Calm,Open,-5.7,0.0,-5.7,SKIP,Yellow,nan,Fire,Earth
Marcus Armitage,Jason Scrivener,Calm,Open,-5.7,0.0,-5.7,SKIP,Yellow,nan,Fire,Earth
Jorge Campillo,Adrian Otaegui,Calm,Open,-5.7,0.0,-5.7,SKIP,Yellow,nan,Fire,Water
Thriston Lawrence,Frederic Lacroix,Calm,Open,-5.7,0.0,-5.7,SKIP,Yellow,nan,Fire,Wood
Andy Sullivan,Rafa Cabrera Bello,Calm,Open,-5.7,0.0,-5.7,SKIP,Yellow,nan,Fire,Wood
Ben Griffin,Wyndham Clark,Calm,Open,-5.7,0.0,-5.7,SKIP,Yellow,nan,Fire,Water
Guido Migliozzi,Freddy Schott,Calm,Open,-5.7,0.0,-5.7,SKIP,Yellow,nan,Fire,Metal
Sam Burns,Sungjae Im,Calm,Open,-5.7,0.0,-5.7,SKIP,Yellow,nan,Fire,Earth
Shane Lowry,Nicolai Hojgaard,Calm,Open,-5.7,0.0,-5.7,SKIP,Yellow,nan,Fire,Metal
Jayden Schaper,Hennie du Plessis,Moderate,Open,-5.1,0.0,-5.1,SKIP,Yellow,nan,Metal,Fire
Jake Knapp,Sam Burns,Tough,Open,1.4,6.4,-5.0,SKIP,Purple,Green,Wood,Fire
Frederic Lacroix,Martin Couvra,Calm,Open,-4.9,0.0,-4.9,SKIP,Blue,nan,Wood,Water
Alex Noren,Nick Taylor,Tough,Open,6.7,1.8,4.9,SKIP,Blue,Yellow,Water,Earth
Jordan Gumberg,David Law,Calm,Open,-4.9,0.0,-4.9,SKIP,Blue,nan,Wood,Metal
Dustin Johnson,Paul Casey,Calm,Open,-4.9,0.0,-4.9,SKIP,Blue,nan,Wood,Fire
Bud Cauley,Michael Kim,Calm,Open,-4.5,0.0,-4.5,SKIP,Yellow,nan,Metal,Water
Nicolai Hojgaard,Sahith Theegala,Calm,Open,-4.5,0.0,-4.5,SKIP,Yellow,nan,Metal,Fire
Ricky Castillo,Stephan Jaeger,Calm,Open,-4.5,0.0,-4.5,SKIP,Yellow,nan,Metal,Earth
Patrick Reed,Branden Grace,Calm,Open,-4.5,0.0,-4.5,SKIP,Yellow,nan,Metal,Earth
Taylor Pendrith,Denny McCarthy,Calm,Open,-4.5,0.0,-4.5,SKIP,Yellow,nan,Metal,Water
Thomas Pieters,Anthony Kim,Calm,Open,-4.5,0.0,-4.5,SKIP,Yellow,nan,Metal,Wood
David Puig,Tyrrell Hatton,Calm,Open,-4.5,0.0,-4.5,SKIP,Yellow,nan,Metal,Metal
Tyrrell Hatton,Thomas Pieters,Calm,Open,-4.5,0.0,-4.5,SKIP,Yellow,nan,Metal,Metal
Eugenio Chacarra,Taichi Kho,Calm,Open,-4.5,0.0,-4.5,SKIP,Yellow,nan,Metal,Metal
J.J. Spaun,Nick Taylor,Calm,Open,-4.5,0.0,-4.5,SKIP,Yellow,nan,Metal,Earth
Brooks Koepka,J.J. Spaun,Calm,Open,-4.5,0.0,-4.5,SKIP,Yellow,nan,Metal,Metal
Abraham Ancer,Carlos Ortiz,Calm,Open,-4.5,0.0,-4.5,SKIP,Yellow,nan,Metal,Metal
Ricky Castillo,Alex Smalley,Calm,Open,-4.5,0.0,-4.5,SKIP,Yellow,nan,Metal,Fire
Jayden Schaper,Thriston Lawrence,Calm,Open,-4.5,0.0,-4.5,SKIP,Yellow,nan,Metal,Fire
Russell Henley,Harris English,Tough,Open,4.4,0.0,4.4,SKIP,Blue,nan,Earth,Earth
Antoine Rozner,JC Ritchie,Calm,Open,-7.4,-11.7,4.299999999999999,SKIP,Orange,Green,Water,Wood
Oliver Lindell,Jorge Campillo,Calm,Open,-4.2,0.0,-4.2,SKIP,Yellow,nan,Earth,Fire
Jacob Bridgeman,Chris Gotterup,Calm,Open,-4.2,0.0,-4.2,SKIP,Yellow,nan,Earth,Earth
Nico Echavarria,Chris Kirk,Calm,Open,-4.2,0.0,-4.2,SKIP,Yellow,nan,Wood,Wood
Kiradech Aphibarnrat,Shubhankar Sharma,Calm,Open,-4.2,0.0,-4.2,SKIP,Yellow,nan,Earth,Fire
Rasmus Neergaard-Petersen,Alex Smalley,Calm,Open,-4.2,0.0,-4.2,SKIP,Yellow,nan,Earth,Fire
Jeong Weon Ko,Taehoon Ok,Calm,Open,-4.2,0.0,-4.2,SKIP,Yellow,nan,Earth,Earth
Dan Bradbury,Niklas Norgaard,Calm,Open,-4.2,0.0,-4.2,SKIP,Yellow,nan,Earth,Water
Darius van Driel,Freddy Schott,Calm,Open,-4.2,0.0,-4.2,SKIP,Yellow,nan,Earth,Metal
Jack Senior,Felix Mory,Calm,Open,-4.2,0.0,-4.2,SKIP,Yellow,nan,Earth,Wood
Wenyi Ding,Eugenio Chacarra,Calm,Open,-4.2,0.0,-4.2,SKIP,Yellow,nan,Wood,Metal
Angel Ayora,Oliver Lindell,Calm,Open,-4.2,0.0,-4.2,SKIP,Yellow,nan,Wood,Earth
Maximilian Steinlechner,Joshua Berry,Calm,Open,-4.2,0.0,-4.2,SKIP,Yellow,nan,Earth,Wood
Niklas Lemke,Ivan Cantero Gutierrez,Calm,Open,-4.2,0.0,-4.2,SKIP,Yellow,nan,Wood,Wood
Wenyi Ding,Yanhan Zhou,Calm,Open,-4.2,0.0,-4.2,SKIP,Yellow,nan,Wood,Earth
Albin Bergstrom,Andreas Halvorsen,Calm,Open,-4.2,0.0,-4.2,SKIP,Yellow,nan,Earth,Fire
Zander Lombard,Daniel Van Tonder,Calm,Open,-4.2,0.0,-4.2,SKIP,Yellow,nan,Wood,Metal
Aldrich Potgieter,Adam Scott,Calm,Open,-4.2,0.0,-4.2,SKIP,Yellow,nan,Wood,Metal
Jon Rahm,Bryson DeChambeau,Calm,Open,-4.2,0.0,-4.2,SKIP,Yellow,nan,Wood,Water
JC Ritchie,Brandon Stone,Calm,Open,-4.2,0.0,-4.2,SKIP,Yellow,nan,Wood,Water
Daniel Bennett,Joel Dahmen,Calm,Open,-4.2,0.0,-4.2,SKIP,Yellow,nan,Wood,Fire
Jhonattan Vegas,Tom Hoge,Calm,Open,-4.2,0.0,-4.2,SKIP,Yellow,nan,Wood,Earth
Caleb Surratt,Richard T. Lee,Calm,Open,-4.2,0.0,-4.2,SKIP,Yellow,nan,Wood,Metal
Austin Smotherman,Christiaan Bezuidenhout,Calm,Open,-4.2,0.0,-4.2,SKIP,Yellow,nan,Wood,Wood
Eric Cole,Kevin Roy,Calm,Open,-4.2,0.0,-4.2,SKIP,Yellow,nan,Earth,Metal
Davis Thompson,Matt McCarty,Calm,Open,-4.2,0.0,-4.2,SKIP,Yellow,nan,Earth,Fire
Oliver Lindell,Charl Schwartzel,Calm,Open,-4.2,0.0,-4.2,SKIP,Yellow,nan,Earth,Wood
Christiaan Bezuidenhout,Haotong Li,Calm,Open,-4.2,0.0,-4.2,SKIP,Yellow,nan,Wood,Wood
Sami Valimaki,Max Homa,Calm,Open,-4.2,0.0,-4.2,SKIP,Yellow,nan,Earth,Metal
Oihan Guillamoundeguy,Rocco Repetto Taylor,Calm,Open,-4.2,0.0,-4.2,SKIP,Yellow,nan,Wood,Water
Rickie Fowler,Michael Kim,Calm,Open,-4.2,0.0,-4.2,SKIP,Yellow,nan,Earth,Water
Si Woo Kim,Bud Cauley,Calm,Open,-4.2,0.0,-4.2,SKIP,Yellow,nan,Wood,Metal
Andrew Novak,Robert MacIntyre,Calm,Open,-4.2,0.0,-4.2,SKIP,Yellow,nan,Wood,Fire
Nico Echavarria,Ludvig Aberg,Calm,Open,-4.2,0.0,-4.2,SKIP,Yellow,nan,Wood,Earth
Jacob Olesen,Julien Guerrier,Calm,Open,-4.2,0.0,-4.2,SKIP,Yellow,nan,Earth,Wood
Dean Burmester,Hennie du Plessis,Calm,Open,-4.2,0.0,-4.2,SKIP,Yellow,nan,Earth,Fire
Jacob Olesen,Jacques Kruyswijk,Calm,Open,-4.2,-8.3,4.1000000000000005,SKIP,Yellow,Yellow,Earth,Water
Carlos Ortiz,Tom McKibbin,Calm,Open,-4.1,0.0,-4.1,SKIP,Blue,nan,Metal,Water
Justin Walters,Louis Albertse,Calm,Open,-4.1,0.0,-4.1,SKIP,Blue,nan,Metal,Fire
Francesco Laporta,Nathan Kimsey,Calm,Open,-4.1,0.0,-4.1,SKIP,Blue,nan,Metal,Water
David Puig,Dean Burmester,Calm,Open,-4.1,0.0,-4.1,SKIP,Blue,nan,Metal,Earth
Talor Gooch,Dustin Johnson,Calm,Open,-4.1,0.0,-4.1,SKIP,Blue,nan,Metal,Wood
Matt Killeen,Adri Arnaus,Calm,Open,-4.1,0.0,-4.1,SKIP,Blue,nan,Metal,Wood
Nicolai Hojgaard,Austin Smotherman,Calm,Open,-4.1,0.0,-4.1,SKIP,Blue,nan,Metal,Wood
Taylor Pendrith,Pierceson Coody,Tough,Open,4.0,0.0,4.0,SKIP,Yellow,nan,Metal,Earth
Tommy Fleetwood,Rory McIlroy,Tough,Open,4.0,0.0,4.0,SKIP,Yellow,nan,Metal,Earth
Matthew Wolff,Richard T. Lee,Moderate,Open,-3.6,0.0,-3.6,SKIP,Yellow,nan,Earth,Metal
Alejandro Del Rey,Julien Guerrier,Moderate,Open,-3.6,0.0,-3.6,SKIP,Yellow,nan,Earth,Wood
Jacob Olesen,Martin Couvra,Moderate,Open,-3.6,0.0,-3.6,SKIP,Yellow,nan,Earth,Water
Dean Burmester,Thomas Pieters,Moderate,Open,-3.6,0.0,-3.6,SKIP,Yellow,nan,Earth,Metal
Davis Thompson,Corey Conners,Moderate,Open,-3.6,0.0,-3.6,SKIP,Yellow,nan,Earth,Metal
Harris English,Robert MacIntyre,Moderate,Open,-3.6,0.0,-3.6,SKIP,Yellow,nan,Earth,Fire
Nick Taylor,Max McGreevy,Moderate,Open,-3.6,0.0,-3.6,SKIP,Yellow,nan,Earth,Wood
Sahith Theegala,Justin Rose,Moderate,Open,-3.6,0.0,-3.6,SKIP,Green,nan,Fire,Metal
Sam Burns,Jason Day,Moderate,Open,-3.6,0.0,-3.6,SKIP,Green,nan,Fire,Fire
Rickie Fowler,Shane Lowry,Moderate,Open,-3.6,0.0,-3.6,SKIP,Yellow,nan,Earth,Fire
Matt Fitzpatrick,Jake Knapp,Moderate,Open,3.6,0.0,3.6,SKIP,Purple,nan,Wood,Wood
Jacob Bridgeman,Pierceson Coody,Moderate,Open,-3.6,0.0,-3.6,SKIP,Yellow,nan,Earth,Earth
Sam Bairstow,Ugo Coussaud,Moderate,Open,-3.6,0.0,-3.6,SKIP,Yellow,nan,Earth,Water
Ryan Gerard,Michael Thorbjornsen,Moderate,Open,-3.6,0.0,-3.6,SKIP,Yellow,nan,Earth,Metal
Jason Scrivener,Joe Dean,Moderate,Open,-3.6,0.0,-3.6,SKIP,Yellow,nan,Earth,Wood
Angel Ayora,Calum Hill,Calm,Open,-7.8,-4.2,-3.5999999999999996,SKIP,Orange,Yellow,Wood,Wood
Michael Kim,Patrick Rodgers,Tough,Closing,-10.8,-14.3,3.5,SKIP,Yellow,Blue,Water,Water
Matt Fitzpatrick,Jason Day,Tough,Open,3.5,0.0,3.5,SKIP,Green,nan,Wood,Fire
Xander Schauffele,Russell Henley,Tough,Open,1.1,4.4,-3.3000000000000003,SKIP,Yellow,Blue,Water,Earth
Jorge Campillo,Francesco Laporta,Calm,Open,-10.7,-7.5,-3.1999999999999993,SKIP,Purple,Green,Fire,Metal
Niklas Norgaard,Daniel van Tonder,Calm,Open,-3.0,-6.1,3.0999999999999996,SKIP,Purple,Purple,Water,Metal
Joel Girrbach,Tapio Pulkkanen,Calm,Open,-3.0,-6.1,3.0999999999999996,SKIP,Purple,Purple,Water,Metal
Grant Forrest,Junghwan Lee,Calm,Open,-3.0,0.0,-3.0,SKIP,Purple,nan,Water,Metal
Ugo Coussaud,Sebastian Garcia Rodriguez,Calm,Open,-3.0,0.0,-3.0,SKIP,Purple,nan,Water,Earth
Grant Forrest,Dan Bradbury,Calm,Open,-3.0,0.0,-3.0,SKIP,Purple,nan,Water,Earth
Cameron Adam,Matthew Baldwin,Calm,Open,-3.0,0.0,-3.0,SKIP,Purple,nan,Water,Fire
Cameron Smith,Lucas Herbert,Calm,Open,-3.0,0.0,-3.0,SKIP,Purple,nan,Water,Wood
Niklas Norgaard,Ewen Ferguson,Calm,Open,-3.0,0.0,-3.0,SKIP,Purple,nan,Water,Fire
Maverick McNealy,Adam Scott,Tough,Closing,0.0,-3.0,3.0,SKIP,Blue,Blue,Wood,Metal
Sam Stevens,Corey Conners,Tough,Closing,-8.3,-11.1,2.799999999999999,SKIP,Yellow,Green,Fire,Metal
Anirban Lahiri,Jason Kokrak,Moderate,Open,2.6,0.0,2.6,SKIP,Purple,nan,Fire,Wood
Ryan Fox,Alex Smalley,Moderate,Open,2.6,0.0,2.6,SKIP,Purple,nan,Fire,Fire
Scottie Scheffler,Collin Morikawa,Moderate,Open,2.6,0.0,2.6,SKIP,Purple,nan,Fire,Fire
Sepp Straka,Justin Rose,Tough,Open,1.1,-1.4,2.5,SKIP,Yellow,Green,Water,Metal
J.T. Poston,Jacob Bridgeman,Tough,Closing,-9.9,-12.2,2.299999999999999,SKIP,Green,Yellow,Water,Earth
Bryson DeChambeau,Tyrrell Hatton,Moderate,Open,-2.2,0.0,-2.2,SKIP,Green,nan,Water,Metal
Elvis Smylie,Abraham Ancer,Moderate,Open,-2.2,0.0,-2.2,SKIP,Green,nan,Water,Metal
Sergio Garcia,Talor Gooch,Moderate,Open,-2.0,0.0,-2.0,SKIP,Purple,nan,Earth,Metal
Ludvig Aberg,Russell Henley,Moderate,Open,-2.0,0.0,-2.0,SKIP,Purple,nan,Earth,Earth
Bud Cauley,Mac Meissner,Moderate,Open,-1.9,0.0,-1.9,SKIP,Purple,nan,Metal,Earth
Tommy Fleetwood,Si Woo Kim,Moderate,Open,-1.9,0.0,-1.9,SKIP,Purple,nan,Metal,Wood
