player_a,player_b,player_c,condition,round_type,score_a,score_b,score_c,best_player,best_score,best_vs_second,recommendation,winner_raw,actual_winner,is_push,push_type,color_a,color_b,color_c,exec_a,exec_b,exec_c,upside_a,upside_b,upside_c
Joel Girrbach,JJ Senekal,Davis Bryant,Calm,Open,1.9508504707498648,-9.789553822772817,-7.076348631915785,A,1.9508504707498648,9.02719910266565,STRONG: Bet A,Push (Joel Girrbach / JJ Senekal),,True,2-way,Yellow,Green,Purple,50,70,50,25.0,70.0,50.0
Garrick Higgo,Karl Vilips,Davis Riley,Calm,Open,-7.076348631915785,1.9508504707498648,-9.789553822772817,B,1.9508504707498648,9.02719910266565,STRONG: Bet B,Karl Vilips,Karl Vilips,False,,Purple,Yellow,Green,50,52,50,50.0,45.0,50.0
Sergio Garcia,Lucas Herbert,Sebastian Munoz,Moderate,Open,0.7769622730033564,-8.127067722374239,-14.882386606837976,A,0.7769622730033564,8.904029995377595,STRONG: Bet A,Sergio Garcia,Sergio Garcia,False,,Purple,Yellow,Yellow,50,56,50,50.0,60.0,25.0
Ben Griffin,Sahith Theegala,Tony Finau,Calm,Open,2.0411972361075694,-6.654587793268107,-8.363221328763021,A,2.0411972361075694,8.695785029375676,STRONG: Bet A,Tony Finau,Tony Finau,False,,Yellow,Yellow,Purple,25,59,75,25.0,85.0,50.0
Xander Schauffele,Rory McIlroy,Hideki Matsuyama,Moderate,Open,0.7769622730033564,-13.99490841106625,-7.868072983664332,A,0.7769622730033564,8.645035256667688,STRONG: Bet A,Xander Schauffele,Xander Schauffele,False,,Purple,Blue,Yellow,50,31,25,50.0,46.0,75.0
Joaquin Niemann,Dean Burmester,Thomas Detry,Calm,Open,-6.0129473429151385,2.4589210073081063,-6.103294108272843,B,2.4589210073081063,8.471868350223245,STRONG: Bet B,Thomas Detry,Thomas Detry,False,,Yellow,Green,Yellow,25,34,50,50.0,40.0,50.0
Taylor Moore,Joel Dahmen,Ryo Hisatsune,Moderate,Open,-7.67494000252621,-13.935419213444785,0.7769622730033564,C,0.7769622730033564,8.451902275529566,STRONG: Bet C,Taylor Moore,Taylor Moore,False,,Green,Yellow,Purple,25,31,50,75.0,46.0,50.0
Cameron Young,Davis Thompson,Sam Burns,Moderate,Open,0.7769622730033564,-8.127067722374239,-7.67494000252621,A,0.7769622730033564,8.451902275529566,STRONG: Bet A,Cameron Young,Cameron Young,False,,Purple,Yellow,Green,50,53,25,50.0,68.0,75.0
J.J. Spaun,Sepp Straka,Shane Lowry,Moderate,Open,0.7769622730033564,-8.815040377057523,-7.67494000252621,A,0.7769622730033564,8.451902275529566,STRONG: Bet A,Sepp Straka,Sepp Straka,False,,Purple,Yellow,Green,50,56,25,50.0,86.0,75.0
Sahith Theegala,Rickie Fowler,Jordan Spieth,Moderate,Open,-7.67494000252621,-8.815040377057523,0.7769622730033564,C,0.7769622730033564,8.451902275529566,STRONG: Bet C,Sahith Theegala,Sahith Theegala,False,,Green,Yellow,Purple,25,56,50,75.0,86.0,50.0
Richard Bland,Ben Campbell,Danny Lee,Calm,Open,-10.621714015079947,-10.621714015079947,-2.2271999497468435,C,-2.2271999497468435,8.394514065333103,STRONG: Bet C,Richard Bland,Richard Bland,False,,Blue,Blue,Purple,50,59,25,75.0,85.0,50.0
Thorbjorn Olesen,Chandler Phillips,Hank Lebioda,Calm,Open,-6.2880345882637325,2.0411972361075694,-10.621714015079947,B,2.0411972361075694,8.329231824371302,STRONG: Bet B,Push (Chandler Phillips / Hank Lebioda),,True,2-way,Blue,Yellow,Blue,50,34,50,50.0,40.0,75.0
Austin Eckroat,Doug Ghim,David Lipsky,Calm,Open,-6.2880345882637325,2.0411972361075694,-7.629423036380654,B,2.0411972361075694,8.329231824371302,STRONG: Bet B,Doug Ghim,Doug Ghim,False,,Blue,Yellow,Green,50,34,50,50.0,40.0,75.0
Franklin Manchest,Justin Walters,Thanda Mavundla,Calm,Open,-8.363221328763021,-6.2880345882637325,1.9508504707498648,C,1.9508504707498648,8.238885059013597,STRONG: Bet C,Justin Walters,Justin Walters,False,,Purple,Blue,Yellow,75,70,50,50.0,70.0,25.0
Camilo Villegas,Joel Dahmen,Sam Ryder,Calm,Open,1.9508504707498648,-9.789553822772817,-6.2880345882637325,A,1.9508504707498648,8.238885059013597,STRONG: Bet A,Joel Dahmen,Joel Dahmen,False,,Yellow,Green,Blue,50,57,50,25.0,57.0,50.0
Francesco Laporta,Connor Syme,Daniel van Tonder,Calm,Open,-6.2880345882637325,-7.936829431588663,1.9508504707498648,C,1.9508504707498648,8.238885059013597,STRONG: Bet C,Francesco Laporta,Francesco Laporta,False,,Blue,Green,Yellow,50,75,50,50.0,69.0,25.0
Jesper Svensson,Zach Bauchou,Jeffrey Kang,Calm,Open,-6.654587793268107,2.0411972361075694,-6.103294108272843,B,2.0411972361075694,8.144491344380413,STRONG: Bet B,Push (Jesper Svensson / Zach Bauchuz),,True,2-way,Yellow,Yellow,Yellow,50,34,50,75.0,40.0,50.0
Rafael Campos,Seamus Power,Rasmus Hojgaard,Calm,Open,-6.654587793268107,2.0411972361075694,-6.103294108272843,B,2.0411972361075694,8.144491344380413,STRONG: Bet B,Rasmus Hojgaard,Rasmus Hojgaard,False,,Yellow,Yellow,Yellow,50,34,50,75.0,40.0,50.0
Zecheng Dou,Jackson Suber,Neal Shipley,Calm,Open,-6.103294108272843,2.0411972361075694,-6.2880345882637325,B,2.0411972361075694,8.144491344380413,STRONG: Bet B,Zecheng Dou,Zecheng Dou,False,,Yellow,Yellow,Blue,50,34,50,50.0,40.0,50.0
Lee Hodges,Mark Hubbard,Henrik Norlander,Calm,Open,-8.363221328763021,-6.103294108272843,2.0411972361075694,C,2.0411972361075694,8.144491344380413,STRONG: Bet C,Lee Hodges,Lee Hodges,False,,Purple,Yellow,Yellow,75,71,25,50.0,65.0,25.0
Ricky Castillo,J.J. Spaun,Billy Horschel,Calm,Open,2.0411972361075694,-6.759287348831288,-6.103294108272843,A,2.0411972361075694,8.144491344380413,STRONG: Bet A,Billy Horschel,Billy Horschel,False,,Yellow,Green,Yellow,25,49,50,25.0,57.0,50.0
Aaron Rai,Shane Lowry,Billy Horschel,Calm,Open,-7.936829431588663,1.9508504707498648,-6.103294108272843,B,1.9508504707498648,8.054144579022708,STRONG: Bet B,Aaron Rai,Aaron Rai,False,,Green,Yellow,Yellow,75,52,50,50.0,45.0,50.0
Steven Fisk,Nico Echavarria,Kevin Yu,Calm,Open,-6.103294108272843,1.9508504707498648,-6.2880345882637325,B,1.9508504707498648,8.054144579022708,STRONG: Bet B,Nico Echavarria,Nico Echavarria,False,,Yellow,Yellow,Blue,50,52,50,50.0,45.0,50.0
Austin Smotherman,Jordan Smith,Chandler Blanchet,Calm,Open,-6.103294108272843,-6.103294108272843,1.9508504707498648,C,1.9508504707498648,8.054144579022708,STRONG: Bet C,Austin Smotherman,Austin Smotherman,False,,Yellow,Yellow,Yellow,50,70,50,50.0,70.0,25.0
Steven Fisk,Nick Taylor,Aaron Rai,Calm,Open,-6.759287348831288,-6.0129473429151385,2.0411972361075694,C,2.0411972361075694,8.054144579022708,STRONG: Bet C,Aaron Rai,Aaron Rai,False,,Green,Yellow,Yellow,25,49,25,50.0,57.0,25.0
Viktor Hovland,Brooks Koepka,Corey Conners,Calm,Open,2.0411972361075694,-6.0129473429151385,-10.621714015079947,A,2.0411972361075694,8.054144579022708,STRONG: Bet A,Corey Conners,Corey Conners,False,,Yellow,Yellow,Blue,25,49,50,25.0,57.0,75.0
Brandon Stone,Marcel Schneider,Pieter Moolman,Calm,Open,1.9508504707498648,-8.363221328763021,-6.103294108272843,A,1.9508504707498648,8.054144579022708,STRONG: Bet A,Brandon Stone,Brandon Stone,False,,Yellow,Purple,Yellow,50,75,50,25.0,69.0,50.0
Jeong Weon Ko,Ryggs Johnston,JC Ritchie,Calm,Open,-8.363221328763021,-6.103294108272843,1.9508504707498648,C,1.9508504707498648,8.054144579022708,STRONG: Bet C,JC Ritchie,JC Ritchie,False,,Purple,Yellow,Yellow,75,70,50,50.0,70.0,25.0
Bjorn Hellgren,Michael La Sasso,Luis Masaveu,Calm,Open,-10.621714015079947,2.0411972361075694,-6.0129473429151385,B,2.0411972361075694,8.054144579022708,STRONG: Bet B,Luis Masaveu,Luis Masaveu,False,,Blue,Yellow,Yellow,50,34,25,75.0,40.0,50.0
Jean Hugo,Adrian Otaegui,Jovan Rebula,Calm,Open,-8.363221328763021,1.9508504707498648,-6.103294108272843,B,1.9508504707498648,8.054144579022708,STRONG: Bet B,Adrian Otaegui,Adrian Otaegui,False,,Purple,Yellow,Yellow,75,52,50,50.0,45.0,50.0
Jacob Olesen,Rikuya Hoshino,Calum Hill,Calm,Open,1.9508504707498648,-6.103294108272843,-7.936829431588663,A,1.9508504707498648,8.054144579022708,STRONG: Bet A,Rikuya Hoshino,Rikuya Hoshino,False,,Yellow,Yellow,Green,50,70,75,25.0,70.0,50.0
Ugo Coussaud,Wenyi Ding,Nathan Kimsey,Calm,Open,-6.103294108272843,-8.363221328763021,1.9508504707498648,C,1.9508504707498648,8.054144579022708,STRONG: Bet C,Nathan Kimsey,Nathan Kimsey,False,,Yellow,Purple,Yellow,50,75,50,50.0,69.0,25.0
Davis Thompson,Stephan Jaeger,Webb Simpson,Calm,Open,-6.103294108272843,1.9508504707498648,-6.103294108272843,B,1.9508504707498648,8.054144579022708,STRONG: Bet B,Davis Thompson,Davis Thompson,False,,Yellow,Yellow,Yellow,50,52,50,50.0,45.0,50.0
Mark Hubbard,Eric Cole,Alex Smalley,Calm,Open,-6.103294108272843,-6.2880345882637325,1.9508504707498648,C,1.9508504707498648,8.054144579022708,STRONG: Bet C,Mark Hubbard,Mark Hubbard,False,,Yellow,Blue,Yellow,50,70,50,50.0,70.0,25.0
Kris Ventura,Dan Brown,Pontus Nyholm,Calm,Open,-6.103294108272843,1.9508504707498648,-6.103294108272843,B,1.9508504707498648,8.054144579022708,STRONG: Bet B,Pontus Nyholm,Pontus Nyholm,False,,Yellow,Yellow,Yellow,50,52,50,50.0,45.0,50.0
Sami Valimaki,Cameron Davis,Matt Kuchar,Calm,Open,1.9508504707498648,-7.936829431588663,-6.103294108272843,A,1.9508504707498648,8.054144579022708,STRONG: Bet A,Push (Cameron Davis / Matt Kuchar),,True,2-way,Yellow,Green,Yellow,50,75,50,25.0,69.0,50.0
Adam Schenk,William Mouw,Aaron Wise,Calm,Open,1.9508504707498648,-6.103294108272843,-6.2880345882637325,A,1.9508504707498648,8.054144579022708,STRONG: Bet A,William Mouw,William Mouw,False,,Yellow,Yellow,Blue,50,57,50,25.0,66.0,50.0
Jesper Svensson,Kensei Hirata,Luke Clanton,Calm,Open,1.9508504707498648,-6.103294108272843,-7.936829431588663,A,1.9508504707498648,8.054144579022708,STRONG: Bet A,Jesper Svensson,Jesper Svensson,False,,Yellow,Yellow,Green,50,57,75,25.0,66.0,50.0
Altin van der Merwe,Louis Albertse,Ruan Korb,Calm,Open,-6.103294108272843,1.9508504707498648,-8.363221328763021,B,1.9508504707498648,8.054144579022708,STRONG: Bet B,Altin van der Merwe,Altin van der Merwe,False,,Yellow,Yellow,Purple,50,52,75,50.0,45.0,50.0
Chan Kim,John Parry,Gordon Sargent,Calm,Open,-6.103294108272843,-6.103294108272843,1.9508504707498648,C,1.9508504707498648,8.054144579022708,STRONG: Bet C,Chan Kim,Chan Kim,False,,Yellow,Yellow,Yellow,50,57,50,50.0,57.0,25.0
Kota Kaneko,Jeff Winther,Scott Jamieson,Calm,Open,-6.103294108272843,-6.103294108272843,1.9508504707498648,C,1.9508504707498648,8.054144579022708,STRONG: Bet C,Jeff Winther,Jeff Winther,False,,Yellow,Yellow,Yellow,50,57,50,50.0,57.0,25.0
Sebastian Garcia Rodriguez,Martin Vorster,Hennie O'Kennedy,Moderate,Open,-8.127067722374239,-0.12067238993215401,-8.815040377057523,B,-0.12067238993215401,8.006395332442086,STRONG: Bet B,Sebastian Garcia Rodriguez,Sebastian Garcia Rodriguez,False,,Yellow,Yellow,Yellow,50,79,50,50.0,78.0,75.0
Michael Hollick,Zander Lombard,Nikhil Rama,Moderate,Open,0.7982740021574942,-7.18010032898105,-8.815040377057523,A,0.7982740021574942,7.978374331138544,MODERATE: Lean A,Zander Lombard,Zander Lombard,False,,Orange,Yellow,Yellow,25,49,50,75.0,56.0,75.0
Angel Hidalgo,Jaco Ahlers,Darius van Driel,Moderate,Open,0.7982740021574942,-8.815040377057523,-7.004717196146538,A,0.7982740021574942,7.802991198304032,MODERATE: Lean A,Darius van Driel,Darius van Driel,False,,Orange,Yellow,Blue,25,57,50,75.0,93.0,50.0
David Law,Jaco Prinsloo,Ugo Coussaud,Moderate,Open,0.7982740021574942,-7.004717196146538,-6.841046277665997,A,0.7982740021574942,7.639320279823491,MODERATE: Lean A,Push (David Law / Jaco Prinsloo),,True,2-way,Orange,Blue,Green,25,60,25,75.0,73.0,50.0
Frederic Lacroix,Zander Lombard,Alex Fitzpatrick,Calm,Open,-13.47647287232165,-6.103294108272843,-13.47647287232165,B,-6.103294108272843,7.373178764048808,MODERATE: Lean B,Frederic Lacroix,Frederic Lacroix,False,,Orange,Yellow,Orange,25,55,25,50.0,62.0,50.0
Joe Dean,Bernd Wiesberger,Nikhil Rama,Calm,Open,-5.3375568192274425,1.9508504707498648,-6.103294108272843,B,1.9508504707498648,7.288407289977307,MODERATE: Lean B,Joe Dean,Joe Dean,False,,Blue,Yellow,Yellow,50,52,50,25.0,45.0,50.0
Emiliano Grillo,Charley Hoffman,Danny Willett,Calm,Open,-5.169521856763286,2.0411972361075694,-6.2880345882637325,B,2.0411972361075694,7.210719092870855,MODERATE: Lean B,Emiliano Grillo,Emiliano Grillo,False,,Blue,Yellow,Blue,25,34,50,25.0,40.0,50.0
Ben Schmidt,Kyle McClatchie,Luke Jerling,Moderate,Open,-7.18010032898105,-0.12067238993215401,-8.712020618837501,B,-0.12067238993215401,7.059427939048896,MODERATE: Lean B,Ben Schmidt,Ben Schmidt,False,,Yellow,Yellow,Blue,25,79,50,50.0,78.0,75.0
Ricardo Gouveia,James Morrison,Keenan Davidse,Moderate,Open,-7.18010032898105,-8.127067722374239,-0.12067238993215401,C,-0.12067238993215401,7.059427939048896,MODERATE: Lean C,James Morrison,James Morrison,False,,Yellow,Yellow,Yellow,25,60,75,50.0,73.0,75.0
Cameron Tringale,Adrian Meronk,Laurie Canter,Calm,Open,-6.103294108272843,2.0411972361075694,-5.01811508652674,B,2.0411972361075694,7.05931232263431,MODERATE: Lean B,Adrian Meronk,Adrian Meronk,False,,Yellow,Yellow,Yellow,50,34,75,50.0,40.0,50.0
Branden Grace,Tyrrell Hatton,Harold Varner III,Calm,Open,-6.103294108272843,-5.01811508652674,2.0411972361075694,C,2.0411972361075694,7.05931232263431,MODERATE: Lean C,Branden Grace,Branden Grace,False,,Yellow,Yellow,Yellow,50,79,25,50.0,65.0,25.0
Russell Henley,Harris English,Corey Conners,Tough,Open,0.06690340178065957,11.986426999266325,4.937862468931233,B,11.986426999266325,7.048564530335091,MODERATE: Lean B,Corey Conners,Corey Conners,False,,Blue,Yellow,Green,50,40,25,75.0,52.0,75.0
Aldrich Potgieter,Ryan Fox,Sam Stevens,Tough,Open,11.986426999266325,4.937862468931233,-0.5319148936170224,A,11.986426999266325,7.048564530335091,MODERATE: Lean A,Ryan Fox,Ryan Fox,False,,Yellow,Green,Yellow,25,48,50,50.0,78.0,75.0
Russell Henley,Harris English,Corey Conners,Tough,Open,0.06690340178065957,11.986426999266325,4.937862468931233,B,11.986426999266325,7.048564530335091,MODERATE: Lean B,Corey Conners,Corey Conners,False,,Blue,Yellow,Green,50,40,25,75.0,52.0,75.0
Sam Stevens,Ryan Fox,Aldrich Potgieter,Tough,Open,-0.5319148936170224,4.937862468931233,11.986426999266325,C,11.986426999266325,7.048564530335091,MODERATE: Lean C,Ryan Fox,Ryan Fox,False,,Yellow,Green,Yellow,50,48,25,75.0,78.0,50.0
Manuel Elvira,Marcus Kinhult,Sam Bairstow,Calm,Open,-7.936829431588663,-5.01811508652674,1.9508504707498648,C,1.9508504707498648,6.968965557276605,MODERATE: Lean C,Sam Bairstow,Sam Bairstow,False,,Green,Yellow,Yellow,75,75,50,50.0,69.0,25.0
Darius van Driel,Ryan Van Velzen,Austin Bautista,Calm,Open,-5.01811508652674,1.9508504707498648,-7.936829431588663,B,1.9508504707498648,6.968965557276605,MODERATE: Lean B,Ryan Van Velzen,Ryan Van Velzen,False,,Yellow,Yellow,Green,75,52,75,50.0,45.0,50.0
Peter Malnati,Brice Garnett,Lanto Griffin,Calm,Open,-5.01811508652674,-6.103294108272843,1.9508504707498648,C,1.9508504707498648,6.968965557276605,MODERATE: Lean C,Lanto Griffin,Lanto Griffin,False,,Yellow,Yellow,Yellow,75,57,50,50.0,66.0,25.0
Taylor Pendrith,Matt McCarty,Jhonattan Vegas,Tough,Open,5.071533382245045,2.0129504504504516,11.986426999266325,C,11.986426999266325,6.91489361702128,MODERATE: Lean C,Push (Taylor Pendrith / Jhonattan Vegas),,True,2-way,Yellow,Green,Yellow,25,73,25,75.0,69.0,50.0
Matt McCarty,Jhonattan Vegas,Taylor Pendrith,Tough,Open,2.0129504504504516,11.986426999266325,5.071533382245045,B,11.986426999266325,6.91489361702128,MODERATE: Lean B,Push (Jhonattan Vegas / Taylor Pendrith),,True,2-way,Green,Yellow,Yellow,50,40,25,50.0,52.0,75.0
Jeong Weon Ko,Herman Loubser,Sam Bairstow,Moderate,Open,-7.004717196146538,-8.127067722374239,-0.12067238993215401,C,-0.12067238993215401,6.884044806214384,MODERATE: Lean C,Sam Bairstow,Sam Bairstow,False,,Blue,Yellow,Yellow,50,60,75,50.0,73.0,75.0
David Puig,Lee Westwood,Louis Oosthuizen,Moderate,Open,-14.882386606837976,-8.127067722374239,-14.882386606837976,B,-8.127067722374239,6.755318884463737,MODERATE: Lean B,Lee Westwood,Lee Westwood,False,,Yellow,Yellow,Yellow,50,56,50,25.0,69.0,25.0
Adam Schenk,Garrick Higgo,Matt McCarty,Moderate,Open,-2.201781955537615,-13.99490841106625,-8.815040377057523,A,-2.201781955537615,6.613258421519908,MODERATE: Lean A,Matt McCarty,Matt McCarty,False,,Purple,Blue,Yellow,25,31,50,75.0,46.0,75.0
Keegan Bradley,Ryan Fox,Chris Kirk,Moderate,Open,-8.815040377057523,-2.201781955537615,-8.815040377057523,B,-2.201781955537615,6.613258421519908,MODERATE: Lean B,nan,nan,False,,Yellow,Purple,Yellow,50,46,50,75.0,75.0,75.0
Adam Schenk,Garrick Higgo,Matt McCarty,Moderate,Open,-2.201781955537615,-13.99490841106625,-8.815040377057523,A,-2.201781955537615,6.613258421519908,MODERATE: Lean A,Matt McCarty,Matt McCarty,False,,Purple,Blue,Yellow,25,31,50,75.0,46.0,75.0
Joel Girrbach,Scott Jamieson,Nathan Kimsey,Calm,Open,0.04897972911897308,-6.564241027910402,-6.564241027910402,A,0.04897972911897308,6.613220757029375,MODERATE: Lean A,Nathan Kimsey,Nathan Kimsey,False,,Purple,Yellow,Yellow,25,48,25,75.0,78.0,75.0
David Wakhu,Lukas Nemecz,Jonathan Broomhead,Calm,Open,0.04897972911897308,-6.2880345882637325,-7.076348631915785,A,0.04897972911897308,6.337014317382706,MODERATE: Lean A,Lukas Nemecz,Lukas Nemecz,False,,Purple,Blue,Purple,25,55,50,75.0,62.0,50.0
Maverick McNealy,Akshay Bhatia,Jacob Bridgeman,Tough,Open,0.06690340178065957,6.382978723404256,-0.5319148936170224,B,6.382978723404256,6.316075321623597,MODERATE: Lean B,Jacob Bridgeman,Jacob Bridgeman,False,,Blue,Yellow,Yellow,50,55,50,75.0,62.0,75.0
Maverick McNealy,Akshay Bhatia,Jacob Bridgeman,Tough,Open,0.06690340178065957,6.382978723404256,-0.5319148936170224,B,6.382978723404256,6.316075321623597,MODERATE: Lean B,Jacob Bridgeman,Jacob Bridgeman,False,,Blue,Yellow,Yellow,50,55,50,75.0,62.0,75.0
Renato Paratore,Trevor Fisher Jr,Ross Fisher,Moderate,Open,-7.868072983664332,-3.7817938420348067,2.438259551103861,C,2.438259551103861,6.220053393138668,MODERATE: Lean C,Ross Fisher,Ross Fisher,False,,Yellow,Orange,Purple,25,57,25,75.0,93.0,50.0
Daniel van Tonder,Justin Harding,Angel Hidalgo,Calm,Open,0.04897972911897308,-6.119999625799575,-6.119999625799575,A,0.04897972911897308,6.168979354918548,MODERATE: Lean A,Justin Harding,Justin Harding,False,,Purple,Blue,Blue,25,40,25,75.0,52.0,50.0
Quim Vidal,Quentin Debove,Robin Williams,Calm,Open,-6.119999625799575,0.04897972911897308,-6.759287348831288,B,0.04897972911897308,6.168979354918548,MODERATE: Lean B,Quim Vidal,Quim Vidal,False,,Blue,Purple,Green,25,48,25,50.0,78.0,50.0
Veer Ahlawat,Joshua Berry,Adri Arnaus,Calm,Open,0.04897972911897308,-10.621714015079947,-6.103294108272843,A,0.04897972911897308,6.152273837391816,MODERATE: Lean A,Push (Veer Ahlawat / Joshua Berry / Adri Arnaus),,True,2-way,Purple,Blue,Yellow,25,51,50,75.0,82.0,50.0
Matteo Manassero,Njoroge Njunge Kibugu,Dan Bradbury,Calm,Open,0.04897972911897308,-9.789553822772817,-6.103294108272843,A,0.04897972911897308,6.152273837391816,MODERATE: Lean A,Njoroge Njunge Kibugu,Njoroge Njunge Kibugu,False,,Purple,Green,Yellow,25,73,50,75.0,69.0,50.0
Marcel Siem,Brandon Stone,Antoine Rozner,Moderate,Open,-7.18010032898105,-0.12067238993215401,-6.2492659494503435,B,-0.12067238993215401,6.1285935595181895,MODERATE: Lean B,Brandon Stone,Brandon Stone,False,,Yellow,Yellow,Blue,25,79,25,50.0,78.0,75.0
Haydn Porteous,Joost Luiten,Neil Schietekat,Moderate,Open,-6.2492659494503435,-0.12067238993215401,-7.868072983664332,B,-0.12067238993215401,6.1285935595181895,MODERATE: Lean B,Joost Luiten,Joost Luiten,False,,Blue,Yellow,Yellow,25,79,25,75.0,78.0,75.0
Euan Walker,Andrew Johnston,Justin Harding,Moderate,Open,-0.12067238993215401,-7.18010032898105,-6.2492659494503435,A,-0.12067238993215401,6.1285935595181895,MODERATE: Lean A,Justin Harding,Justin Harding,False,,Yellow,Yellow,Blue,75,49,25,75.0,56.0,75.0
Mark Hubbard,Thorbjorn Olesen,Mac Meissner,Moderate,Open,-13.935419213444785,-13.935419213444785,-7.868072983664332,C,-7.868072983664332,6.067346229780453,MODERATE: Lean C,Mac Meissner,Mac Meissner,False,,Yellow,Yellow,Yellow,25,31,25,25.0,46.0,75.0
Mark Hubbard,Thorbjorn Olesen,Mac Meissner,Moderate,Open,-13.935419213444785,-13.935419213444785,-7.868072983664332,C,-7.868072983664332,6.067346229780453,MODERATE: Lean C,Mac Meissner,Mac Meissner,False,,Yellow,Yellow,Yellow,25,31,25,25.0,46.0,75.0
Ryan Van Velzen,Andres Gallegos,Sadom Kaewkanjana,Calm,Open,0.04897972911897308,-6.0129473429151385,-6.119999625799575,A,0.04897972911897308,6.061927072034112,MODERATE: Lean A,Push (Ryan Van Velzen / Sadom Kaewkanjana),,True,2-way,Purple,Yellow,Blue,25,40,25,75.0,52.0,50.0
Makhetha Mazibuko,Graham van der Merwe,Hugo Townsend,Moderate,Open,-8.712020618837501,1.2858286206805567,-4.7298850574712645,B,1.2858286206805567,6.015713678151821,MODERATE: Lean B,Hugo Townsend,Hugo Townsend,False,,Blue,Purple,Green,50,79,75,75.0,78.0,75.0
Adrian Otaegui,Oliver Bekker,David Ravetto,Moderate,Open,1.2858286206805567,-4.54196252675938,-8.712020618837501,A,1.2858286206805567,5.827791147439937,MODERATE: Lean A,David Ravetto,David Ravetto,False,,Purple,Blue,Blue,75,49,50,75.0,56.0,75.0
