Player A,Player B,Player C,Condition,Round,Round Type,Event Date,Moon,Color [A],Color [B],Color [C],Element [A],Element [B],Element [C],Horoscope [A],Horoscope [B],Horoscope [C],Exec A,Upside [A],Exec [B],Upside [B],Exec C,Upside [C],Winner,ML A,ML B,ML C
Jason Day,Alex Noren,Ryo Hisatsune,Tough,Round 1,Open,2/19/2026,Waxing Crescent,Blue,Blue,Green,Fire,Water,Water,SCORPIO,CANCER,VIRGO,25,50,73,69,50,50,Ryo Hisatsune,150,175,200
Andrew Novak,Brian Harman,Nick Taylor,Tough,Round 1,Open,2/19/2026,Waxing Crescent,Yellow,Yellow,Yellow,Wood,Fire,Earth,ARIES,CAPRICORN,ARIES,25,75,55,62,50,50,Andrew Novak,200,190,137
Russell Henley,Harris English,Corey Conners,Tough,Round 1,Open,2/19/2026,Waxing Crescent,Blue,Yellow,Green,Earth,Earth,Metal,ARIES,LEO,CAPRICORN,50,75,40,52,25,75,Corey Conners,145,150,250
Sepp Straka,Harry Hall,Patrick Cantlay,Tough,Round 1,Open,2/19/2026,Waxing Crescent,Yellow,Green,Blue,Water,Fire,Water,TAURUS,LEO,PISCES,50,75,48,78,50,75,Push (Sepp Straka / Harry Hall),175,220,137
Chris Gotterup,Justin Rose,Robert MacIntyre,Tough,Round 1,Open,2/19/2026,Waxing Crescent,Yellow,Green,Purple,Earth,Metal,Fire,CANCER,LEO,LEO,50,75,40,52,50,75,Chris Gotterup,162,180,180
Scottie Scheffler,Xander Schauffele,Si Woo Kim,Tough,Round 1,Open,2/19/2026,Waxing Crescent,Green,Yellow,Purple,Fire,Water,Wood,CANCER,SCORPIO,CANCER,50,50,55,62,50,50,Push (Xander Schauffele / Si Woo Kim),-115,240,275
Min Woo Lee,Jordan Spieth,Daniel Berger,Tough,Round 1,Open,2/19/2026,Waxing Crescent,Yellow,Blue,Purple,Earth,Water,Water,LEO,LEO,ARIES,25,50,55,62,50,50,Min Woo Lee,130,170,250
Brian Campbell,Wyndham Clark,Marco Penge,Tough,Round 1,Open,2/19/2026,Waxing Crescent,Green,Orange,Yellow,Water,Water,Earth,PISCES,SAGITTARIUS,TAURUS,50,50,40,52,50,75,Marco Penge,333,120,145
Daniel Rodrigues,Jack Yule,Samuel Njoroge,Calm,Round 1,Open,2/19/2026,Waxing Crescent,Yellow,Purple,Yellow,Water,Wood,Water,VIRGO,LIBRA,SCORPIO,25,50,55,62,25,50,Daniel Rodrigues,-170,187,750
Quim Vidal,Quentin Debove,Robin Williams,Calm,Round 1,Open,2/19/2026,Waxing Crescent,Blue,Purple,Green,Earth,Metal,Metal,SAGITTARIUS,LIBRA,VIRGO,25,50,48,78,25,50,Quim Vidal,220,187,130
Maximilian Kieffer,Yannik Paul,Lucas Bjerregaard,Calm,Round 1,Open,2/19/2026,Waxing Crescent,Green,Yellow,Green,Metal,Wood,Metal,CANCER,PISCES,LEO,25,75,48,78,50,50,Push (Maximilian Kieffer / Yannik Paul / Lucas Bjerregaard),150,200,175
Rocco Repetto Taylor,Connor McKinney,Mohit Mediratta,Calm,Round 1,Open,2/19/2026,Waxing Crescent,Yellow,Green,Green,Water,Metal,Wood,SAGITTARIUS,AQUARIUS,GEMINI,50,50,73,69,50,75,Rocco Repetto Taylor,-115,115,900
Joel Girrbach,Scott Jamieson,Nathan Kimsey,Calm,Round 1,Open,2/19/2026,Waxing Crescent,Purple,Yellow,Yellow,Water,Water,Water,CANCER,SAGITTARIUS,ARIES,25,75,48,78,25,75,Nathan Kimsey,175,210,145
Richard Sterne,Marcel Schneider,David Micheluzzi,Calm,Round 1,Open,2/19/2026,Waxing Crescent,Green,Yellow,Purple,Metal,Metal,Fire,VIRGO,AQUARIUS,LEO,50,50,51,82,50,50,Push (Marcel Schneider / David Micheluzzi),160,162,200
Matthew Jordan,Marcel Siem,JC Ritchie,Calm,Round 1,Open,2/19/2026,Waxing Crescent,Orange,Blue,Green,Wood,Metal,Wood,CAPRICORN,CANCER,PISCES,25,50,55,62,25,75,Matthew Jordan,175,240,130
Mutahi Kibugu,Filippo Celli,David Law,Calm,Round 1,Open,2/19/2026,Waxing Crescent,Yellow,Purple,Orange,Metal,Metal,Metal,CAPRICORN,VIRGO,TAURUS,50,50,73,69,25,50,David Law,750,110,100
Rikuya Hoshino,Joost Luiten,Darius van Driel,Calm,Round 1,Open,2/19/2026,Waxing Crescent,Purple,Yellow,Green,Fire,Wood,Earth,TAURUS,CAPRICORN,GEMINI,50,50,48,78,50,75,Joost Luiten,210,130,200
Hugo Townsend,Tapio Pulkkanen,Ryggs Johnston,Calm,Round 1,Open,2/19/2026,Waxing Crescent,Green,Purple,Yellow,Earth,Metal,Metal,CAPRICORN,GEMINI,GEMINI,25,75,73,69,50,50,Ryggs Johnston,160,150,220
Connor Syme,Alejandro Del Rey,Brandon Robinson Thompson,Calm,Round 1,Open,2/19/2026,Waxing Crescent,Blue,Yellow,Green,Wood,Earth,Water,CANCER,AQUARIUS,VIRGO,50,75,51,82,50,75,Push (Connor Syme / Brandon Robinson Thompson),187,145,200
Francesco Laporta,Joe Dean,Marcus Kinhult,Calm,Round 1,Open,2/19/2026,Waxing Crescent,Green,Purple,Purple,Metal,Wood,Fire,LIBRA,CANCER,LEO,50,50,48,78,50,75,Francesco Laporta,125,210,210
Matteo Manassero,Njoroge Njunge Kibugu,Dan Bradbury,Calm,Round 1,Open,2/19/2026,Waxing Crescent,Purple,Green,Yellow,Water,Water,Earth,ARIES,SCORPIO,LEO,25,75,73,69,50,50,Njoroge Njunge Kibugu,170,400,-110
Angel Ayora,Antoine Rozner,Pablo Larrazabal,Calm,Round 1,Open,2/19/2026,Waxing Crescent,Orange,Orange,Blue,Wood,Water,Water,LIBRA,AQUARIUS,TAURUS,25,50,40,52,50,75,Angel Ayora,-110,170,400
Shubhankar Sharma,Jordan Gumberg,David Ravetto,Calm,Round 1,Open,2/19/2026,Waxing Crescent,Green,Orange,Purple,Fire,Wood,Fire,CANCER,ARIES,GEMINI,50,50,40,52,50,50,Jordan Gumberg,210,187,137
Tom Vaillant,Mike Kisia,Dan Erickson,Calm,Round 1,Open,2/19/2026,Waxing Crescent,Yellow,Orange,Green,Metal,Earth,Earth,SAGITTARIUS,AQUARIUS,CAPRICORN,25,75,40,52,25,75,Tom Vaillant,-150,1200,137
Bernd Wiesberger,Jason Scrivener,Wenyi Ding,Calm,Round 1,Open,2/19/2026,Waxing Crescent,Green,Green,Blue,Wood,Earth,Wood,LIBRA,ARIES,SCORPIO,25,75,55,62,50,75,Jason Scrivener,225,200,120
Jeff Winther,Adam Blomme,Celestin Nsazuwera,Calm,Round 1,Open,2/19/2026,Waxing Crescent,Blue,Purple,Purple,Earth,Fire,Metal,ARIES,ARIES,AQUARIUS,25,50,73,69,50,50,Celestin Nsazuwera,110,187,275
Daniel Kiragu,Matthew Baldwin,Ryan Peake,Calm,Round 1,Open,2/19/2026,Waxing Crescent,Yellow,Yellow,Yellow,Metal,Fire,Water,CANCER,PISCES,PISCES,25,50,48,78,50,50,Matthew Baldwin,1200,-120,110
Junaid Manji,Gregorio De Leo,Niklas Lemke,Calm,Round 1,Open,2/19/2026,Waxing Crescent,Green,Yellow,Yellow,Fire,Metal,Wood,AQUARIUS,ARIES,TAURUS,50,50,73,69,50,50,Niklas Lemke,1100,-110,105
Shashwat Harish,Alfredo Garcia-Heredia,Clement Sordet,Calm,Round 1,Open,2/19/2026,Waxing Crescent,Blue,Purple,Purple,Earth,Metal,Water,AQUARIUS,SAGITTARIUS,LIBRA,25,50,48,78,25,75,Alfredo Garcia-Heredia,1200,105,-115
Jay Singh Sandhu,Jack Buchanan,Hunter Logan,Calm,Round 1,Open,2/19/2026,Waxing Crescent,Purple,Orange,Purple,Fire,Wood,Metal,VIRGO,AQUARIUS,PISCES,50,50,40,52,50,50,Jack Buchanan,800,-105,110
Cameron Adam,Frederico Biondi Figueiredo,Daniel Nduva,Calm,Round 1,Open,2/19/2026,Waxing Crescent,Purple,Green,Orange,Water,Metal,Wood,CANCER,SAGITTARIUS,VIRGO,25,75,55,62,25,50,Frederico Biondi Figueiredo,105,110,650
Edwin Mudanyi,Albin Bergstrom,Jovan Rebula,Calm,Round 1,Open,2/19/2026,Waxing Crescent,Blue,Yellow,Green,Wood,Earth,Fire,PISCES,ARIES,LEO,25,50,55,62,25,50,Albin Bergstrom,800,-105,110
Jastas Madoya Asena,Davis Bryant,Callum Tarren,Calm,Round 1,Open,2/19/2026,Waxing Crescent,Green,Orange,Purple,Fire,Earth,Metal,GEMINI,CAPRICORN,LIBRA,25,75,40,52,25,75,Davis Bryant,900,105,-105
Yurav Premall,Felix Mory,Dismas Indiza Anyonyi,Calm,Round 1,Open,2/19/2026,Waxing Crescent,Purple,Green,Yellow,Water,Wood,Earth,GEMINI,PISCES,SAGITTARIUS,25,75,48,78,50,75,Yurav Premall,110,115,550
Kiradech Aphibarnrat,Oihan Guillamoundeguy,Francis Epe,Calm,Round 1,Open,2/19/2026,Waxing Crescent,Yellow,Blue,Blue,Earth,Wood,Wood,LEO,SCORPIO,ARIES,25,50,51,82,50,50,Kiradech Aphibarnrat,120,110,500
Alexander Levy,Todd Clements,Ricardo Gouveia,Calm,Round 1,Open,2/19/2026,Waxing Crescent,Blue,Purple,Blue,Metal,Fire,Metal,LEO,VIRGO,LEO,50,50,55,62,50,50,Ricardo Gouveia,230,140,170
Frederic Lacroix,Zander Lombard,Alex Fitzpatrick,Calm,Round 1,Open,2/19/2026,Waxing Crescent,Orange,Yellow,Orange,Wood,Wood,Earth,PISCES,CAPRICORN,CAPRICORN,25,50,55,62,25,50,Frederic Lacroix,175,210,145
Ryan Van Velzen,Andres Gallegos,Sadom Kaewkanjana,Calm,Round 1,Open,2/19/2026,Waxing Crescent,Purple,Yellow,Blue,Metal,Wood,Earth,LIBRA,LEO,CANCER,25,75,40,52,25,50,Push (Ryan Van Velzen / Sadom Kaewkanjana),162,333,105
Veer Ahlawat,Joshua Berry,Adri Arnaus,Calm,Round 1,Open,2/19/2026,Waxing Crescent,Purple,Blue,Yellow,Fire,Wood,Wood,ARIES,TAURUS,LIBRA,25,75,51,82,50,50,Push (Veer Ahlawat / Joshua Berry / Adri Arnaus),160,210,160
Daniel van Tonder,Justin Harding,Angel Hidalgo,Calm,Round 1,Open,2/19/2026,Waxing Crescent,Purple,Blue,Blue,Metal,Fire,Earth,PISCES,AQUARIUS,TAURUS,25,75,40,52,25,50,Justin Harding,130,240,175
Stefano Mazzoli,Hennie du Plessis,Maximilian Steinlechner,Calm,Round 1,Open,2/19/2026,Waxing Crescent,Purple,Yellow,Yellow,Fire,Fire,Earth,CAPRICORN,LIBRA,SCORPIO,50,50,40,52,50,50,Maximilian Steinlechner,210,100,275
Jacob Olesen,Greg Snow,Niklas Norgaard,Calm,Round 1,Open,2/19/2026,Waxing Crescent,Yellow,Purple,Purple,Earth,Metal,Water,GEMINI,GEMINI,GEMINI,25,75,51,82,50,50,Jacob Olesen,110,550,115
Ewen Ferguson,Guido Migliozzi,Joakim Lagergren,Calm,Round 1,Open,2/19/2026,Waxing Crescent,Yellow,Yellow,Purple,Fire,Fire,Metal,CANCER,AQUARIUS,SCORPIO,25,50,73,69,50,50,Joakim Lagergren,140,200,187
Benjamin Follett-Smith,James Morrison,Euan Walker,Calm,Round 1,Open,2/19/2026,Waxing Crescent,Yellow,Blue,Yellow,Wood,Wood,Wood,PISCES,AQUARIUS,VIRGO,25,50,51,82,25,75,Push (Benjamin Follett-Smith / James Morrison),137,175,230
Clement Charmasson,Adrian Otaegui,Mike Toorop,Calm,Round 1,Open,2/19/2026,Waxing Crescent,Green,Green,Orange,Earth,Water,Earth,AQUARIUS,SCORPIO,AQUARIUS,50,50,48,78,25,50,Mike Toorop,162,130,260
Jacques Kruyswijk,Freddy Schott,Thriston Lawrence,Calm,Round 1,Open,2/19/2026,Waxing Crescent,Yellow,Yellow,Yellow,Water,Metal,Fire,LIBRA,GEMINI,SAGITTARIUS,25,50,48,78,25,50,Thriston Lawrence,190,220,130
Michael Hollick,Romain Langasque,Casey Jarvis,Calm,Round 1,Open,2/19/2026,Waxing Crescent,Orange,Green,Green,Fire,Wood,Water,TAURUS,TAURUS,LEO,25,50,55,62,50,75,Casey Jarvis,220,187,130
Tobias Jonsson,Aaron Cockerill,Sebastian Garcia Rodriguez,Calm,Round 1,Open,2/19/2026,Waxing Crescent,Green,Yellow,Yellow,Metal,Water,Earth,GEMINI,TAURUS,PISCES,25,75,51,82,50,75,Push (Tobias Jonsson / Aaron Cockerill),180,160,180
Ivan Cantero Gutierrez,Daniel Young,Jack Senior,Calm,Round 1,Open,2/19/2026,Waxing Crescent,Blue,Green,Yellow,Wood,Metal,Earth,AQUARIUS,VIRGO,CANCER,50,50,40,52,25,50,Push (Ivan Cantero Gutierrez / Daniel Young / Jack Senior),162,162,200
CJ Wangai,Renato Paratore,Mikael Lindberg,Calm,Round 1,Open,2/19/2026,Waxing Crescent,Yellow,Yellow,Blue,Wood,Fire,Water,LIBRA,SAGITTARIUS,CAPRICORN,50,75,40,52,50,75,Mikael Lindberg,700,170,-150
Michael Karanga,Manuel Elvira,Sebastian Soderberg,Calm,Round 1,Open,2/19/2026,Waxing Crescent,Orange,Yellow,Purple,Wood,Fire,Metal,AQUARIUS,LEO,VIRGO,25,50,51,82,50,50,Sebastian Soderberg,1000,-105,105
Yanhan Zhou,Yuvraj Sandhu,Anthony Quayle,Calm,Round 1,Open,2/19/2026,Waxing Crescent,Blue,Purple,Yellow,Earth,Fire,Wood,ARIES,PISCES,VIRGO,25,50,73,69,50,75,Yuvraj Sandhu,145,230,162
John Lejirma,Fabrizio Zanotti,Andreas Halvorsen,Calm,Round 1,Open,2/19/2026,Waxing Crescent,Green,Purple,Yellow,Metal,Water,Fire,LIBRA,GEMINI,SAGITTARIUS,25,50,55,62,50,50,Andreas Halvorsen,700,145,-125
David Wakhu,Lukas Nemecz,Jonathan Broomhead,Calm,Round 1,Open,2/19/2026,Waxing Crescent,Purple,Blue,Purple,Wood,Earth,Metal,LEO,LEO,SAGITTARIUS,25,75,55,62,50,50,Lukas Nemecz,450,115,125
Jake Knapp,Kurt Kitayama,Nico Echavarria,Tough,Round 1,Open,2/19/2026,Waxing Crescent,Purple,Orange,Yellow,Wood,Water,Wood,GEMINI,CAPRICORN,CANCER,50,50,40,52,25,75,Kurt Kitayama,125,175,275
Taylor Pendrith,Matt McCarty,Jhonattan Vegas,Tough,Round 1,Open,2/19/2026,Waxing Crescent,Yellow,Green,Yellow,Metal,Fire,Wood,GEMINI,SAGITTARIUS,LEO,25,75,73,69,25,50,Push (Taylor Pendrith / Jhonattan Vegas),110,165,350
Pierceson Coody,Sahith Theegala,Michael Kim,Tough,Round 1,Open,2/19/2026,Waxing Crescent,Orange,Purple,Yellow,Earth,Fire,Water,CAPRICORN,SAGITTARIUS,CANCER,25,50,48,78,25,50,Pierceson Coody,140,180,235
Ben Griffin,Sam Burns,Keegan Bradley,Tough,Round 1,Open,2/19/2026,Waxing Crescent,Blue,Green,Purple,Fire,Fire,Fire,TAURUS,LEO,GEMINI,50,75,48,78,50,75,Sam Burns,170,170,200
Maverick McNealy,Akshay Bhatia,Jacob Bridgeman,Tough,Round 1,Open,2/19/2026,Waxing Crescent,Blue,Yellow,Yellow,Wood,Metal,Earth,SCORPIO,AQUARIUS,SAGITTARIUS,50,75,55,62,50,75,Jacob Bridgeman,155,185,200
Cameron Young,Viktor Hovland,Shane Lowry,Tough,Round 1,Open,2/19/2026,Waxing Crescent,Purple,Yellow,Purple,Fire,Fire,Fire,TAURUS,VIRGO,ARIES,50,50,51,82,25,75,Viktor Hovland,160,180,200
Hideki Matsuyama,Ludvig Aberg,J.J. Spaun,Tough,Round 1,Open,2/19/2026,Waxing Crescent,Yellow,Purple,Blue,Water,Earth,Metal,PISCES,SCORPIO,LEO,25,75,73,69,50,50,Hideki Matsuyama,130,210,220
Rory McIlroy,Tommy Fleetwood,Collin Morikawa,Tough,Round 1,Open,2/19/2026,Waxing Crescent,Orange,Yellow,Yellow,Earth,Metal,Fire,TAURUS,CAPRICORN,AQUARIUS,25,50,55,62,50,50,Rory McIlroy,150,170,225
Adam Scott,Ryan Gerard,Patrick Rodgers,Tough,Round 1,Open,2/19/2026,Waxing Crescent,Blue,Purple,Blue,Metal,Earth,Water,CANCER,LEO,CANCER,50,50,73,69,50,50,Adam Scott,155,170,215
Max Homa,Denny McCarthy,Kevin Yu,Tough,Round 1,Open,2/19/2026,Waxing Crescent,Purple,Orange,Green,Metal,Water,Earth,SCORPIO,PISCES,LEO,50,50,40,52,50,50,Max Homa,155,175,215
Sam Stevens,Ryan Fox,Aldrich Potgieter,Tough,Round 1,Open,2/19/2026,Waxing Crescent,Yellow,Green,Yellow,Fire,Fire,Wood,CANCER,AQUARIUS,VIRGO,50,75,48,78,25,50,Ryan Fox,135,175,250
Rickie Fowler,Max Greyserman,Tom Kim,Tough,Round 1,Open,2/19/2026,Waxing Crescent,Yellow,Yellow,Green,Earth,Wood,Water,SAGITTARIUS,GEMINI,CANCER,50,75,51,82,50,50,Max Greyserman,130,180,250
Tony Finau,Max McGreevy,Lucas Glover,Tough,Round 1,Open,2/19/2026,Waxing Crescent,Green,Orange,Yellow,Earth,Wood,Earth,VIRGO,TAURUS,SCORPIO,50,50,40,52,50,75,Max McGreevy,155,160,230
Matt Fitzpatrick,Garrick Higgo,Aaron Rai,Tough,Round 1,Open,2/19/2026,Waxing Crescent,Green,Orange,Yellow,Wood,Earth,Wood,VIRGO,TAURUS,PISCES,25,75,40,52,50,75,Aaron Rai,-105,250,255
Jason Day,Alex Noren,Ryo Hisatsune,Tough,Round 1,Open,2/19/2026,Waxing Crescent,Blue,Blue,Green,Fire,Water,Water,SCORPIO,CANCER,VIRGO,25,50,73,69,50,50,Ryo Hisatsune,145,190,210
Nick Taylor,Brian Harman,Andrew Novak,Tough,Round 1,Open,2/19/2026,Waxing Crescent,Yellow,Yellow,Yellow,Earth,Fire,Wood,ARIES,CAPRICORN,ARIES,50,50,55,62,25,75,Andrew Novak,125,210,220
Russell Henley,Harris English,Corey Conners,Tough,Round 1,Open,2/19/2026,Waxing Crescent,Blue,Yellow,Green,Earth,Earth,Metal,ARIES,LEO,CAPRICORN,50,75,40,52,25,75,Corey Conners,140,160,260
Patrick Cantlay,Sepp Straka,Harry Hall,Tough,Round 1,Open,2/19/2026,Waxing Crescent,Blue,Yellow,Green,Water,Water,Fire,PISCES,TAURUS,LEO,50,75,51,82,25,75,Push (Sepp Straka / Harry Hall),130,190,240
Chris Gotterup,Robert MacIntyre,Justin Rose,Tough,Round 1,Open,2/19/2026,Waxing Crescent,Yellow,Purple,Green,Earth,Fire,Metal,CANCER,LEO,LEO,50,75,51,82,25,50,Chris Gotterup,150,190,200
Scottie Scheffler,Xander Schauffele,Si Woo Kim,Tough,Round 1,Open,2/19/2026,Waxing Crescent,Green,Yellow,Purple,Fire,Water,Wood,CANCER,SCORPIO,CANCER,50,50,55,62,50,50,Push (Xander Schauffele / Si Woo Kim),-125,250,315
Austin Eckroat,Danny Willett,Beau Hossler,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Purple,Yellow,Yellow,Earth,Fire,Wood,CAPRICORN,LIBRA,PISCES,50,50,57,57,50,50,Beau Hossler,120,350,137
Taylor Moore,Harry Higgs,Hank Lebioda,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Blue,Yellow,Green,Water,Metal,Water,LEO,SAGITTARIUS,CAPRICORN,50,25,70,70,50,25,Taylor Moore,130,220,187
Matthieu Pavon,Adam Hadwin,Doug Ghim,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Green,Green,Green,Water,Fire,Fire,SCORPIO,SCORPIO,ARIES,75,50,57,57,75,50,Push (Matthieu Pavon / Adam Hadwin),220,175,137
Camilo Villegas,Joel Dahmen,Sam Ryder,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Yellow,Green,Blue,Metal,Fire,Earth,CAPRICORN,SCORPIO,SAGITTARIUS,50,25,57,57,50,50,Joel Dahmen,260,145,145
Lee Hodges,Matt Wallace,Mac Meissner,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Yellow,Yellow,Green,Wood,Metal,Earth,GEMINI,ARIES,AQUARIUS,50,50,57,66,50,25,Lee Hodges,200,187,140
Adam Svensson,Rico Hoey,Max McGreevy,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Yellow,Purple,Green,Water,Wood,Wood,CAPRICORN,VIRGO,TAURUS,50,50,75,69,50,50,Max McGreevy,280,150,130
Aaron Rai,Shane Lowry,Billy Horschel,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Green,Yellow,Yellow,Wood,Fire,Fire,PISCES,ARIES,SAGITTARIUS,75,50,52,45,50,50,Aaron Rai,175,120,260
Brendon Todd,Kevin Streelman,Vince Whaley,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Yellow,Blue,Green,Wood,Earth,Wood,LEO,SCORPIO,PISCES,75,50,52,45,50,50,Kevin Streelman,200,220,-110
Steven Fisk,Nico Echavarria,Kevin Yu,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Yellow,Yellow,Blue,Fire,Wood,Earth,ARIES,CANCER,LEO,50,50,52,45,50,50,Nico Echavarria,210,145,175
Garrick Higgo,Karl Vilips,Davis Riley,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Purple,Yellow,Green,Earth,Metal,Fire,TAURUS,LEO,SAGITTARIUS,50,50,52,45,50,50,Karl Vilips,140,180,210
Joe Highsmith,Chris Kirk,Keith Mitchell,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Yellow,Yellow,Purple,Metal,Wood,Metal,ARIES,TAURUS,CAPRICORN,50,50,57,66,75,50,Keith Mitchell,300,160,120
Davis Thompson,Stephan Jaeger,Webb Simpson,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Yellow,Yellow,Yellow,Earth,Earth,Wood,GEMINI,GEMINI,LEO,50,50,52,45,50,50,Davis Thompson,137,162,240
Rafael Campos,Nicolai Hojgaard,S.H. Kim,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Green,Yellow,Yellow,Earth,Metal,Earth,ARIES,PISCES,VIRGO,50,25,57,57,50,50,Nicolai Hojgaard,400,-115,175
Nick Dunlap,Kyoung-Hoon Lee,Chad Ramey,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Yellow,Yellow,Yellow,Water,Metal,Water,CAPRICORN,VIRGO,LEO,50,25,57,57,50,25,Chad Ramey,200,220,125
Adrien Saddier,Paul Waring,Christo Lamprecht,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Yellow,Purple,Purple,Water,Wood,Metal,TAURUS,AQUARIUS,AQUARIUS,50,25,75,69,75,50,Adrien Saddier,137,240,160
Jackson Suber,Johnny Keefer,Blades Brown,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Green,Purple,Green,Earth,Metal,Fire,LIBRA,CAPRICORN,GEMINI,75,50,57,57,50,50,Jackson Suber,225,125,187
Ricky Castillo,Adrien Dumont De Chassart,Keita Nakajima,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Yellow,Yellow,Yellow,Metal,Metal,Metal,VIRGO,PISCES,CANCER,75,50,70,70,75,50,Ricky Castillo,145,180,200
